id,nom,id,titre,annee,nbSpectateurs,idRealisateur,idGenre
14,Fantastique,9597,Vidocq,2001,,4586,14
28,Action,9619,Le Pic de Dante,1997,22265970,21370,28
28,Action,9620,Paycheck,2003,11928439,11401,28
28,Action,9631,Négociateur,1998,5568460,37932,28
53,Thriller,9667,The Jacket,2005,2640778,40307,53
35,Comédie,9686,New York Stories,1989,,1776,35
10402,Musique,9716,Tout le monde dit I love you,1996,,1243,10402
35,Comédie,9718,Ricky Bobby : roi du circuit,2006,20370772,55710,35
28,Action,9737,Bad Boys,1995,17675878,865,28
28,Action,9770,Mad City,1997,1317690,27436,28
18,Drame,9800,Philadelphia,1993,25834805,16294,18
28,Action,9802,Rock,1996,41882827,865,28
12,Aventure,9837,Le prince d'Égypte,1998,27326648,21879,12
14,Fantastique,9906,"Lucas, fourmi malgré lui",2006,6897641,60237,14
18,Drame,9944,L'affaire Pélican,1993,24408507,6349,18
35,Comédie,9986,Le Petit monde de Charlotte,2006,18000000,17046,35
12,Aventure,9992,Arthur et les Minimoys,2006,13493029,59,12
28,Action,10015,Le Maître de guerre,1986,5340502,190,28
35,Comédie,10022,Baby-Sittor,2005,24829608,20739,35
28,Action,10027,Danny the Dog,2005,6358889,18865,28
12,Aventure,10047,Jeanne d'Arc,1999,8372039,59,12
35,Comédie,10051,Fauteuils d'orchestre,2006,,1963,35
35,Comédie,10086,C'est arrivé près de chez vous,1992,,63174,35
35,Comédie,10098,Le Kid,1921,312500,13848,35
35,Comédie,10184,Ce que pensent les hommes,2009,22358269,29009,35
16,Animation,10193,Toy Story 3,2010,133371212,8,16
12,Aventure,10195,Thor,2011,56165827,11181,12
10749,Romance,10209,Marrakech Express,1998,,33405,10749
14,Fantastique,10210,Le Songe d'une nuit d'été,1999,,52405,14
35,Comédie,10260,Les Ripoux,1984,,11201,35
53,Thriller,10279,Summer of Sam,1999,2411016,5281,53
35,Comédie,10353,Les Couloirs du Temps : Les Visiteurs 2,1998,,64909,35
80,Crime,10354,Jugé coupable,1999,,190,80
12,Aventure,10386,Le géant de fer,1999,2894913,7087,12
14,Fantastique,10395,Wolf,1994,16375324,5342,14
28,Action,10396,Tequila Sunrise,1988,,11057,28
18,Drame,10400,Hurricane Carter,1999,9244530,13563,18
18,Drame,10401,La Fille sur le pont,1999,,37626,18
28,Action,10431,Rogue : L'ultime affrontement,2007,5056580,65190,28
18,Drame,10452,La Reine Margot,1994,,23724,18
35,Comédie,10484,Les compères,1983,,38507,35
12,Aventure,10515,Le Château dans le ciel,1986,,608,12
35,Comédie,10516,Le Gendarme et les Extra-terrestres,1979,,39138,35
10751,Familial,10527,Madagascar 2,2008,75487544,18863,10751
878,Science-Fiction,10540,Outland... Loin de la Terre,1981,2171824,37710,878
16,Animation,10555,Gang de requins,2004,45909377,12058,16
28,Action,10617,Il était une fois en Chine,1991,478307,26760,28
28,Action,10618,Il était une fois en Chine 2 : La Secte du lotus blanc,1992,3799959,26760,28
28,Action,10623,En sursis,2003,7061194,10765,28
18,Drame,10637,Le Plus Beau des combats,2000,17088335,52358,18
80,Crime,10650,Le Retour de l'inspecteur Harry,1983,8455336,190,80
28,Action,10656,Subway,1985,48832,59,28
18,Drame,10697,Le goût des autres,2000,,28279,18
12,Aventure,10764,Quantum of Solace,2008,73261340,12995,12
27,Horreur,10779,Fantômes contre fantômes,1996,3669902,108,27
35,Comédie,10792,Coup de tête,1979,,2352,35
18,Drame,10795,Ne le dis à personne,2006,,19866,18
28,Action,10796,The One,2001,9087500,57134,28
10402,Musique,10840,On Your Mark,1995,,608,10402
35,Comédie,10939,Le retour du grand blond,1974,,25182,35
18,Drame,10950,Sam je suis sam,2001,11567802,16853,18
53,Thriller,11092,Présumé innocent,1990,27662898,6349,53
18,Drame,11156,Coco avant Chanel,2009,,48583,18
9648,Mystère,11169,Spartan,2004,1014089,1255,9648
35,Comédie,11183,Les Bronzés,1978,,37626,35
80,Crime,11185,"Pas nous, pas nous",1989,5863623,133259,80
10749,Romance,11227,Angel-A,2005,1249396,59,10749
35,Comédie,11286,L'Équipée du cannonball,1981,9022447,67767,35
18,Drame,11321,Sept vies,2008,21020961,20646,18
18,Drame,11324,Shutter Island,2010,36850524,1032,18
53,Thriller,11439,The Ghost Writer,2010,7527787,3556,53
35,Comédie,11444,Le Placard,2001,,38507,35
12,Aventure,11479,Un Indien dans la ville,1994,,69537,12
18,Drame,11515,Les Fantômes de Goya,2006,1181010,3974,18
14,Fantastique,11559,Tideland,2005,70826,280,14
18,Drame,11604,Anthony Zimmer,2005,,69987,18
18,Drame,11615,La Vie de David Gale,2003,4869449,9168,18
12,Aventure,11619,Souris City,2006,22265001,33183,12
35,Comédie,11621,Porco Rosso,1992,,608,35
35,Comédie,11631,Mamma Mia !,2008,76230204,71068,35
18,Drame,11650,Five Fingers,2006,,22808,18
18,Drame,11657,Le Cercle rouge,1970,,3831,18
10749,Romance,11661,Joyeux Noël,2005,2213644,70221,10749
18,Drame,11666,"La vie, l'amour, la mort",1969,,16862,18
80,Crime,11672,Une fille et des fusils,1965,,16862,80
14,Fantastique,11687,Les Visiteurs,1993,,64909,14
35,Comédie,11796,Le mari de la coiffeuse,1990,,37626,35
18,Drame,11820,Le Sourire de Mona Lisa,2003,,10723,18
14,Fantastique,11834,Jabberwocky,1977,,280,14
35,Comédie,11860,Sabrina,1995,6709010,2226,35
35,Comédie,11912,Le Tatoué,1968,,24389,35
35,Comédie,11913,Le Gendarme en balade,1970,,39138,35
35,Comédie,11914,Sur un arbre perché,1971,,24425,35
35,Comédie,11915,Le Gendarme et les Gendarmettes,1982,,39138,35
