id,titre,annee,nbSpectateurs,idRealisateur,idGenre
26338,Romance,1999,164256,6295,18
26428,Agora,2009,4880188,19840,12
26505,Arthur et la vengeance de Maltazard,2009,,59,12
26636,Twentynine Palms,2003,,95901,18
26691,Neuilly sa mère !,2009,,1335250,35
27053,Le jour se lève,1939,,25161,80
27061,Deux hommes dans Manhattan,1959,,3831,80
27067,La Vie de Jésus,1997,,95901,10749
27205,Inception,2010,103191595,525,28
27430,Touchez pas au grisbi,1954,,103393,80
27578,Expendables : Unité spéciale,2010,34308799,16483,53
28971,Les feux de la rampe,1952,125000,13848,18
28973,Un roi à New York,1957,,13848,35
28978,Le cirque,1928,,13848,35
28981,Bons baisers d'Athènes,1979,,16566,12
29379,Une semaine sur deux,2009,,238400,18
29415,La Bête humaine,1938,,11528,18
30163,Les Fugitifs,1986,,38507,35
30432,L'Armée du crime,2009,,5069,10752
30497,Massacre à la tronçonneuse,1974,3857375,10051,27
30588,Monsieur Verdoux,1947,,13848,35
30599,Kobe Doin' Work,2009,,5281,99
30621,"HIStory on Film, Volume II",1997,,1099309,10402
31203,Le Petit Nicolas,2009,,64575,35
31354,Mon idole,2002,,19866,80
31522,Une Femme est une femme,1961,12581,3776,35
31618,La Main droite du diable,1988,,27436,28
31819,Charlot s'évade,1917,,13848,35
32390,Palais Royal!,2005,,62531,35
32458,Forgotten Silver,1995,,109253,35
32657,Percy Jackson - Le voleur de foudre,2010,28312151,10965,12
